device_id,building,start_time,end_time,total_time
#./dOxIc2o4o1EE8khLudUY#,"['BIRC', 'BIRC', 'BIRC', 'BIRC', 'BIRC']","[8.0, 63.0, 77.0, 1067.0, 1081.0]","[29.0, 64.0, 1038.0, 1068.0, 1437.0]","[21.0, 1.0, 961.0, 1.0, 356.0]"
#./dOxIc2o4oDsrY2N/cfW.#,"['TFHS', 'UMPD']","[1117.0, 1136.0]","[1119.0, 1137.0]","[2.0, 1.0]"
#./dOxIc2o4oJlaR2tMxRuE#,"['PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'HAMP', 'HERT', 'HAMP', 'LIBR', 'SC', 'LIBR', 'DRA', 'CC', 'SUB', 'LIBR', 'PRIN', 'LIBR', 'BART', 'HAMP', 'PRIN', 'HAMP', 'CRMP', 'PRIN', 'HERT', 'CRMP', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN']","[37.0, 75.0, 139.0, 206.0, 621.0, 750.0, 761.0, 762.0, 763.0, 765.0, 768.0, 769.0, 771.0, 772.0, 775.0, 777.0, 778.0, 779.0, 780.0, 787.0, 788.0, 804.0, 807.0, 835.0, 838.0, 852.0, 1140.0, 1155.0, 1188.0, 1218.0, 1301.0, 1331.0, 1375.0, 1398.0, 1433.0]","[47.0, 80.0, 140.0, 207.0, 623.0, 761.0, 762.0, 763.0, 764.0, 768.0, 769.0, 771.0, 772.0, 775.0, 777.0, 778.0, 779.0, 780.0, 787.0, 788.0, 794.0, 805.0, 808.0, 838.0, 844.0, 853.0, 1143.0, 1160.0, 1191.0, 1226.0, 1318.0, 1361.0, 1376.0, 1409.0, 1434.0]","[10.0, 5.0, 1.0, 1.0, 2.0, 11.0, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 7.0, 1.0, 6.0, 1.0, 1.0, 3.0, 6.0, 1.0, 3.0, 5.0, 3.0, 8.0, 17.0, 30.0, 1.0, 11.0, 1.0]"
#./dOxIc2o4ogv.maG3fd5g#,"['FILD', 'FILD', 'WEBS', 'BAKE']","[302.0, 403.0, 411.0, 412.0]","[303.0, 411.0, 412.0, 413.0]","[1.0, 8.0, 1.0, 1.0]"
#./dOxIc2o4olR0OnGKkw2M#,"['HASA', 'HASA', 'HASA', 'HASA']","[450.0, 480.0, 502.0, 514.0]","[451.0, 481.0, 503.0, 1016.0]","[1.0, 1.0, 1.0, 502.0]"
#.6SbmCDKrB.nk0k6lzqN9Q#,"['358NP', 'HILS', 'SOM', 'ISOM', 'HERT', 'WHIT', 'MAH', 'HERT']","[405.0, 409.0, 410.0, 411.0, 415.0, 421.0, 423.0, 438.0]","[406.0, 410.0, 411.0, 413.0, 416.0, 422.0, 429.0, 439.0]","[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 6.0, 1.0]"
#.88epwSLvag1RDnuQZ5F2E#,"['NRSC', 'NRSC', 'NRSC', 'NRSC', 'JOHN']","[133.0, 708.0, 1048.0, 1172.0, 1426.0]","[207.0, 914.0, 1066.0, 1249.0, 1427.0]","[74.0, 206.0, 18.0, 77.0, 1.0]"
#.88epwSLvagO7VW4nuiqlc#,"['LAPT', 'LAPT', 'LAPT']","[3.0, 834.0, 1319.0]","[5.0, 837.0, 1320.0]","[2.0, 3.0, 1.0]"
#.88epwSLvagQcW9Hz1kpKM#,"['HERT', 'HERT', 'HERT']","[417.0, 899.0, 1381.0]","[418.0, 900.0, 1382.0]","[1.0, 1.0, 1.0]"
#.88epwSLvagX3R0F4PTw5E#,"['LAPT', 'LAPT', 'LAPT', 'LAPT', 'LAPT', 'LAPT', 'LAPT']","[4.0, 538.0, 1162.0, 1177.0, 1223.0, 1240.0, 1328.0]","[60.0, 681.0, 1163.0, 1178.0, 1225.0, 1241.0, 1411.0]","[56.0, 143.0, 1.0, 1.0, 2.0, 1.0, 83.0]"
#.88epwSLvagiYkPe4zVQ6o#,"['CC', 'CC', 'CC', 'CC', 'CC', 'STAD']","[16.0, 76.0, 234.0, 279.0, 509.0, 579.0]","[17.0, 77.0, 264.0, 280.0, 511.0, 582.0]","[1.0, 1.0, 30.0, 1.0, 2.0, 3.0]"
#.88epwSLvagzs90vmkLlYI#,"['NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA', 'NRSA']","[8.0, 23.0, 56.0, 78.0, 104.0, 119.0, 133.0, 267.0, 338.0, 407.0, 444.0, 458.0, 529.0, 553.0, 578.0, 615.0, 643.0, 1381.0]","[9.0, 40.0, 67.0, 91.0, 105.0, 120.0, 197.0, 268.0, 346.0, 408.0, 445.0, 489.0, 531.0, 554.0, 583.0, 631.0, 700.0, 1398.0]","[1.0, 17.0, 11.0, 13.0, 1.0, 1.0, 64.0, 1.0, 8.0, 1.0, 1.0, 31.0, 2.0, 1.0, 5.0, 16.0, 57.0, 17.0]"
#.Q3Uf9BQXWYCSbklyWSFWA#,"['HAML', 'TFB', 'SREC', 'PIER', 'HAML', 'SREC', 'JAME', 'SABG', 'SKIN24', 'LGRC', 'TOTM', 'SKIN24', 'TOTM']","[806.0, 807.0, 808.0, 809.0, 823.0, 825.0, 826.0, 880.0, 881.0, 882.0, 883.0, 898.0, 899.0]","[807.0, 808.0, 809.0, 810.0, 824.0, 826.0, 827.0, 881.0, 882.0, 883.0, 884.0, 899.0, 900.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
#.U4mB3VKqkU2I3KEvDS2Vg#,"['CASH', 'CASH', 'CASH', 'CASH', 'CASH', 'CASH', 'CASH', 'CASH', 'CASH']","[8.0, 383.0, 622.0, 694.0, 828.0, 840.0, 1202.0, 1231.0, 1318.0]","[24.0, 384.0, 644.0, 759.0, 829.0, 842.0, 1203.0, 1232.0, 1440.0]","[16.0, 1.0, 22.0, 65.0, 1.0, 2.0, 1.0, 1.0, 122.0]"
#.U4mB3VKqkUHSbh3hS34lY#,"['PRIN', 'PRIN', 'PRIN', 'PRIN', 'PRIN']","[6.0, 686.0, 914.0, 990.0, 1406.0]","[7.0, 751.0, 971.0, 991.0, 1407.0]","[1.0, 65.0, 57.0, 1.0, 1.0]"
#.YSY4ncYcJgFsIO6DZaOQk#,"['FILD', 'WHLR', 'GORM', 'GORM', 'GORM', 'GORM', 'GORM', 'GORM', 'GORM', 'WHLR', 'GRGH', 'GRGH', 'VANM', 'FILD', 'FILD', 'FILD', 'FILD', 'FILD', 'FILD', 'FILD', 'FILD', 'FILD', 'FILD']","[488.0, 557.0, 736.0, 765.0, 791.0, 827.0, 845.0, 860.0, 900.0, 941.0, 953.0, 974.0, 992.0, 994.0, 1006.0, 1034.0, 1056.0, 1125.0, 1169.0, 1216.0, 1233.0, 1248.0, 1274.0]","[549.0, 659.0, 751.0, 766.0, 800.0, 828.0, 846.0, 884.0, 938.0, 946.0, 957.0, 990.0, 993.0, 995.0, 1016.0, 1035.0, 1090.0, 1143.0, 1174.0, 1217.0, 1234.0, 1249.0, 1290.0]","[61.0, 102.0, 15.0, 1.0, 9.0, 1.0, 1.0, 24.0, 38.0, 5.0, 4.0, 16.0, 1.0, 1.0, 10.0, 1.0, 34.0, 18.0, 5.0, 1.0, 1.0, 1.0, 16.0]"
#.dfD3ZLR7sc5.LaQNujwZ6#,"['LSL', 'LSL', 'LSL']","[499.0, 516.0, 780.0]","[500.0, 517.0, 782.0]","[1.0, 1.0, 2.0]"
